Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
2025-03-07 17:30:00,36.0,7877.7,6760.2,5902.46,5902.46,4900.76
2025-03-07 17:45:00,36.0,7985.7,6991.8,6046.7,6046.7,4875.34
2025-03-07 18:00:00,37.0,5090.2,6688.6,4870.2,4870.2,3601.58
2025-03-07 18:15:00,37.0,5464.1,4256.0,4015.95,4015.95,4500.29
2025-03-07 18:30:00,38.0,7483.6,3671.4,3671.4,3671.4,10000.0
2025-03-07 18:45:00,38.0,10410.4,3482.4,3482.4,3482.4,10000.0
2025-03-07 19:00:00,39.0,13327.3,2492.8,2492.79,2492.79,10000.0
2025-03-07 19:15:00,39.0,13560.2,2740.1,2740.1,2740.1,10000.0
2025-03-07 19:30:00,40.0,10926.1,4167.9,4167.9,4167.9,10000.0
2025-03-07 19:45:00,40.0,9140.3,5255.0,5254.99,5254.99,10000.0
2025-03-07 20:00:00,41.0,7541.9,6560.5,5609.12,5609.12,5200.83
2025-03-07 20:15:00,41.0,7204.6,7418.9,5790.6,5790.6,4864.51
2025-03-07 20:30:00,42.0,6475.9,6570.1,5419.29,5419.29,4200.77
2025-03-07 20:45:00,42.0,5823.0,6886.0,4979.23,4979.23,3999.96
2025-03-07 21:00:00,43.0,6238.6,6537.8,5385.09,5385.09,4031.68
2025-03-07 21:15:00,43.0,6505.4,6071.1,5330.2,5330.2,4500.12
2025-03-07 21:30:00,44.0,6955.6,5094.0,4916.72,4916.72,5060.66
2025-03-07 21:45:00,44.0,6143.0,5517.6,4816.66,4816.66,4250.34
2025-03-07 22:00:00,45.0,5793.3,4114.8,3768.41,3768.41,4620.73
2025-03-07 22:15:00,45.0,5850.4,3981.8,3591.25,3591.25,4970.02
2025-03-07 22:30:00,46.0,6008.9,3835.7,3425.7,3425.7,5200.01
2025-03-07 22:45:00,46.0,5839.5,4255.2,3597.21,3597.21,4820.4
2025-03-07 23:00:00,47.0,5847.1,4944.3,3596.26,3596.26,4300.97
2025-03-07 23:15:00,47.0,5532.9,5099.7,3424.1,3424.1,4199.3
2025-03-07 23:30:00,48.0,5886.3,5411.5,3743.5,3743.5,4325.14
2025-03-07 23:45:00,48.0,5796.8,5949.2,3646.6,3646.6,4012.16
